id,price,host_is_superhost,host_total_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,reviews_per_month
63,171,f,1,f,-37.84984,144.99242,House,Entire home/apt,6,1,2,3,0,100,20,2,1125,12,88,10,9,10,10,10,9,t,moderate,1.53
64,90,f,1,t,-37.73201,145.00682,Bungalow,Entire home/apt,2,1,1,1,,,0,2,1125,3,100,10,10,10,10,8,9,f,moderate,0.12
65,100,t,1,f,-37.82459,144.9642,Loft,Private room,2,1,1,1,0,20,25,2,1125,31,98,10,10,10,10,10,10,f,moderate,0.96
66,165,f,4,t,-37.90237,145.16006,House,Private room,5,1,1,4,200,0,25,1,1125,3,73,7,5,10,10,7,6,f,flexible,0.07
67,171,f,30,f,-37.73594,144.91036,House,Entire home/apt,6,1.5,3,3,800,85,15,3,30,0,,,,,,,,f,moderate,
68,85,t,1,t,-37.96861,145.02016,Townhouse,Private room,2,1.5,1,1,,,0,1,1125,65,100,10,10,10,10,10,10,t,moderate,2.34
69,43,t,3,t,-38.10873,145.3043,House,Private room,2,1.5,1,1,350,25,20,1,1125,39,99,10,10,10,10,10,10,f,strict_14_with_grace_period,1.13
70,154,f,1,f,-37.81218,144.9633,Apartment,Entire home/apt,4,1,1,2,500,50,0,4,1125,21,97,10,10,10,10,10,10,f,strict_14_with_grace_period,0.77
71,20,f,1,f,-37.72573,145.00925,House,Private room,1,1.5,0,1,,,0,3,21,0,,,,,,,,t,flexible,
72,109,f,15,f,-37.77787,144.93979,Apartment,Entire home/apt,4,1,1,2,0,100,30,2,1125,1,100,10,10,10,10,10,10,t,strict_14_with_grace_period,0.79
73,139,f,1,f,-37.78578,145.12886,Apartment,Private room,2,1,1,1,0,30,0,1,1125,0,,,,,,,,f,flexible,
74,73,f,1,f,-37.82315,144.96325,Apartment,Private room,2,1,1,1,130,15,0,1,1125,12,88,9,8,10,10,10,10,t,flexible,0.42
75,45,f,11,t,-37.84766,145.12777,House,Private room,2,1,1,1,0,15,20,2,1125,14,74,9,6,9,8,8,8,t,flexible,0.88
76,138,t,2,t,-37.84236,144.88882,House,Entire home/apt,4,2,2,3,350,55,29,3,1124,37,96,10,10,10,10,10,10,f,strict_14_with_grace_period,0.84
77,63,t,3,t,-37.75362,144.99929,House,Private room,2,1,1,1,0,10,0,1,1125,14,94,9,10,10,10,10,10,f,flexible,0.56
78,60,f,1,t,-37.7578,144.96631,House,Private room,1,1,1,1,0,0,25,1,3,4,93,10,9,10,10,9,10,t,flexible,0.22
79,109,t,12,f,-37.81454,144.93987,Apartment,Entire home/apt,5,1,2,2,200,85,0,2,50,34,95,10,10,10,10,10,10,t,moderate,1.46
80,151,f,1,f,-37.86535,144.98295,Apartment,Entire home/apt,4,1,1,1,,,0,5,14,0,,,,,,,,f,flexible,
81,109,f,18,t,-37.83631,144.96462,Boutique hotel,Private room,2,1,1,2,141,15,0,1,365,11,87,9,10,9,9,9,9,t,strict_14_with_grace_period,0.32
82,151,f,19,f,-37.81391,145.1154,Apartment,Entire home/apt,4,1,2,2,300,80,30,1,1125,0,,,,,,,,t,moderate,
83,100,f,94,f,-37.76997,144.96542,Apartment,Entire home/apt,4,1,1,2,150,130,0,2,1000,3,100,10,9,10,9,9,9,f,strict_14_with_grace_period,0.31
84,9999,f,71,f,-37.81763,144.9643,Apartment,Entire home/apt,10,2,4,5,500,264,35,1,1125,1,60,2,2,6,10,10,6,t,strict_14_with_grace_period,1
85,149,f,1,f,-37.81348,144.95654,Apartment,Entire home/apt,4,1,2,2,150,40,0,1,30,2,100,10,10,10,10,10,10,t,flexible,2
86,80,f,3,f,-37.82208,144.94394,Apartment,Entire home/apt,2,1,1,1,250,90,30,3,60,15,83,9,9,9,8,10,9,f,strict_14_with_grace_period,0.91
87,155,f,1,f,-37.81552,144.94786,Apartment,Entire home/apt,4,2,2,2,0,79,0,1,1125,49,93,10,10,9,10,10,9,f,strict_14_with_grace_period,5.88
88,209,f,22,f,-37.83734,144.99252,Apartment,Entire home/apt,6,1,2,4,200,129,24,2,90,7,91,8,9,9,10,9,9,f,strict_14_with_grace_period,0.25
89,176,t,1,f,-37.81555,144.97983,Apartment,Entire home/apt,4,1,1,2,0,55,10,1,1125,35,95,9,10,10,10,10,9,t,flexible,6.6
90,60,f,1,f,-37.62925,145.01263,House,Private room,1,1,1,2,,,0,1,1125,0,,,,,,,,t,flexible,
91,88,t,5,f,-37.81369,145.09334,House,Private room,2,1,1,1,0,65,7,1,1125,0,,,,,,,,t,moderate,
92,114,t,1,f,-37.80824,144.96196,Apartment,Entire home/apt,2,1,1,1,0,69,0,1,1125,22,95,10,10,10,10,10,10,f,strict_14_with_grace_period,1.22
93,31,t,2,f,-37.7975,144.82698,Townhouse,Private room,1,1.5,1,1,,,0,1,1125,7,100,10,9,10,10,9,10,f,moderate,1.67
94,100,f,1,f,-37.79088,145.06993,House,Entire home/apt,4,3,2,2,0,25,50,3,30,2,100,10,10,10,10,10,10,t,strict_14_with_grace_period,0.75
95,3400,t,4,f,-37.73444,145.23027,House,Entire home/apt,12,3.5,5,8,1500,150,100,3,1125,0,,,,,,,,f,flexible,
96,145,f,1,t,-37.81158,144.96519,Apartment,Entire home/apt,2,2,1,2,,50,25,4,1125,7,96,10,10,10,10,9,9,t,strict_14_with_grace_period,0.16
97,250,t,5,f,-37.83929,144.97632,Apartment,Entire home/apt,7,1,3,4,500,95,0,3,365,29,98,10,10,10,10,10,10,t,moderate,2.05
98,109,f,1,f,-37.81497,144.96474,Apartment,Entire home/apt,5,1,0,3,150,,0,1,1125,13,82,8,7,9,9,9,9,f,flexible,0.5
99,250,f,1,f,-37.87827,145.00287,House,Entire home/apt,6,2.5,4,5,,,0,4,12,3,100,10,9,10,10,10,10,t,flexible,1.61
100,80,f,2,f,-37.82471,144.96229,Apartment,Private room,2,1,1,1,150,25,0,1,1125,7,91,9,9,10,10,10,9,t,strict_14_with_grace_period,2.53
101,158,f,2,t,-37.81513,144.97357,Apartment,Entire home/apt,2,1,1,1,200,30,0,2,9,5,92,10,10,10,10,10,10,f,moderate,0.12
102,30,f,2,f,-37.85396,144.9809,Apartment,Private room,1,1,1,1,,,0,1,1125,15,89,9,8,9,10,9,9,f,flexible,0.49
103,45,f,1,t,-37.96154,145.06188,House,Private room,2,1,1,2,0,20,10,2,90,1,100,8,8,8,8,8,6,f,flexible,0.29
104,195,f,75,f,-37.81462,144.95314,Apartment,Entire home/apt,6,2,2,3,300,89,15,1,1125,46,94,10,9,9,9,10,9,t,strict_14_with_grace_period,5.13
105,119,f,1,f,-37.83098,144.94879,Condominium,Entire home/apt,5,2,2,2,,70,23,2,1125,13,92,10,10,10,10,10,10,t,strict_14_with_grace_period,3.79
106,193,t,34,f,-37.81176,144.96115,Apartment,Entire home/apt,6,2,2,3,500,89,25,2,1125,69,97,10,10,10,10,10,9,t,moderate,3.26
107,109,f,1,f,-37.80947,145.00708,Apartment,Entire home/apt,4,2,2,3,350,120,0,3,1125,30,87,9,9,10,9,9,9,t,flexible,1.63
108,36,f,1,t,-37.83354,144.97276,Apartment,Private room,2,1,1,1,,,0,4,6,0,,,,,,,,t,strict_14_with_grace_period,
109,210,f,1,f,-37.89799,145.1803,House,Entire home/apt,10,3,5,5,300,79,0,2,1125,35,91,9,9,10,10,9,10,f,moderate,1.79
110,70,f,1,f,-37.82726,145.02541,Apartment,Private room,2,1,1,1,0,0,25,2,60,17,99,10,10,10,10,10,10,t,strict_14_with_grace_period,0.98
111,85,t,3,t,-37.88108,144.99575,Apartment,Entire home/apt,4,1,1,2,250,50,15,3,1124,141,93,9,9,10,10,9,9,f,strict_14_with_grace_period,3.22
112,109,f,94,f,-37.86724,145.00288,Apartment,Entire home/apt,4,1,2,2,200,125,0,2,1000,3,100,10,10,10,10,9,9,f,strict_14_with_grace_period,0.26
113,90,f,1,t,-37.8267,145.03564,Apartment,Entire home/apt,2,1,1,1,0,80,0,10,14,1,100,10,10,10,10,10,10,f,strict_14_with_grace_period,0.07
114,75,t,1,f,-37.77506,144.91518,Townhouse,Private room,2,1,1,1,200,38,85,2,1125,25,99,10,10,10,10,10,10,f,strict_14_with_grace_period,1.32
115,289,f,65,f,-37.8241,144.96435,Apartment,Entire home/apt,12,4,4,8,495,197,13,1,1100,2,100,10,8,10,10,10,10,t,strict_14_with_grace_period,0.72
116,129,f,109,f,-37.81695,144.97657,Apartment,Entire home/apt,3,1,1,1,500,65,0,1,90,61,96,9,9,9,10,10,9,t,strict_14_with_grace_period,0.96
117,175,f,1,f,-37.69873,145.53675,Apartment,Private room,2,1,1,1,0,0,0,2,1125,26,99,10,10,10,10,10,10,f,flexible,0.84
118,36,t,2,t,-37.71791,144.95047,House,Private room,2,1,1,1,0,7,0,1,7,42,99,10,10,10,10,9,10,t,moderate,11.05
119,151,t,1,f,-37.62679,145.51752,Guest suite,Entire home/apt,2,1,1,1,141,30,0,2,3,98,96,10,10,10,10,10,9,t,moderate,2.02
120,85,f,1,t,-37.82092,144.95508,Apartment,Private room,1,1,1,1,,45,100,3,1125,11,93,10,9,10,9,10,9,f,strict_14_with_grace_period,0.72
121,290,f,1,t,-37.82741,145.31326,Bed and breakfast,Private room,4,1.5,2,2,,,100,1,365,5,100,10,10,10,10,10,10,t,strict_14_with_grace_period,0.14
122,168,f,2,f,-37.82227,144.88027,House,Entire home/apt,4,1,2,3,500,60,30,2,1125,2,80,9,10,10,10,7,9,f,strict_14_with_grace_period,0.05
123,36,f,1,t,-37.79601,144.98778,Townhouse,Private room,2,1,1,1,,,0,1,1125,0,,,,,,,,f,flexible,
124,169,t,3,f,-37.80194,144.9591,Serviced apartment,Entire home/apt,4,2,2,2,500,150,0,4,1125,10,100,10,10,10,10,10,10,f,flexible,1.82
125,55,f,2,f,-37.92779,145.12501,House,Private room,2,1,1,1,140,20,0,2,1125,1,80,8,8,10,10,10,8,t,flexible,0.91
126,68,f,1,f,-37.90153,145.09275,Apartment,Entire home/apt,4,1,1,1,,,0,20,31,0,,,,,,,,t,strict_14_with_grace_period,
127,95,f,2,f,-37.78767,144.97135,House,Entire home/apt,2,1,1,1,200,55,20,3,21,34,98,10,10,10,10,10,10,f,moderate,2.09
128,151,f,1,t,-37.85748,144.9882,Apartment,Entire home/apt,4,1,2,2,500,90,25,3,1125,6,87,8,9,8,9,10,9,t,strict_14_with_grace_period,0.18
129,36,f,9,f,-37.91326,145.09852,Villa,Private room,2,1,1,1,150,20,0,7,1125,14,87,9,8,9,9,9,9,t,moderate,3.41
130,198,t,2,f,-37.79756,144.92015,Townhouse,Entire home/apt,8,2.5,4,5,400,120,20,3,1125,43,94,10,9,10,10,10,10,t,moderate,2.47
131,53,f,1,t,-37.80183,144.89626,Apartment,Private room,2,1,1,2,300,40,35,2,21,36,92,9,10,9,10,9,9,f,strict_14_with_grace_period,0.87
132,200,f,3,t,-37.80318,144.95327,Apartment,Entire home/apt,4,1,2,2,200,0,0,7,500,7,93,9,9,10,10,10,9,f,moderate,0.18
133,80,f,1,f,-37.77072,145.0062,House,Private room,2,1,1,1,138,30,0,1,1125,1,100,10,10,10,10,10,10,t,flexible,0.33
134,109,f,1,f,-37.84749,144.95938,House,Private room,2,1,1,1,0,40,30,1,14,2,100,10,10,10,10,10,10,f,flexible,0.17
135,97,f,1,f,-37.81391,145.00399,Apartment,Entire home/apt,4,1,2,2,,,0,30,1125,1,100,10,10,10,10,10,10,f,moderate,0.09
136,245,f,30,f,-37.82661,144.95876,Apartment,Entire home/apt,4,1,2,2,300,0,0,1,1125,1,60,10,6,6,8,10,8,t,moderate,0.38
137,175,f,1,f,-37.77586,144.90482,House,Entire home/apt,4,2.5,3,3,,90,0,2,1125,16,100,10,10,10,10,10,10,f,strict_14_with_grace_period,0.56
138,139,f,20,f,-37.80274,144.96308,Apartment,Entire home/apt,4,1,2,2,250,75,30,2,28,1,100,8,8,10,10,10,10,t,moderate,1
139,58,f,39,f,-37.81471,144.95272,Apartment,Private room,2,1,1,1,200,30,10,1,356,13,78,8,8,9,9,10,8,t,moderate,1.61
140,109,f,1,f,-37.82035,144.94204,Apartment,Entire home/apt,3,1,1,2,250,60,20,1,15,17,96,10,9,10,10,10,9,t,strict_14_with_grace_period,6.54
141,43,t,1,t,-37.80189,144.98192,House,Private room,1,1,1,1,,,8,1,6,122,97,10,10,10,10,10,10,f,moderate,3.08
142,199,f,2,f,-37.80712,144.96779,Apartment,Entire home/apt,6,2,2,3,500,88,29,1,1125,1,60,10,4,10,10,8,6,f,moderate,0.75
143,55,f,1,f,-37.87581,145.09426,House,Private room,2,1,1,1,0,30,20,1,1125,1,100,10,10,10,10,10,10,f,flexible,0.67
144,90,f,1,f,-37.83391,144.68297,House,Private room,1,1,1,1,,,0,1,1125,0,,,,,,,,t,flexible,
145,220,f,75,f,-37.89983,145.15904,House,Entire home/apt,10,2.5,4,6,500,200,15,1,365,2,100,10,10,10,10,10,10,t,strict_14_with_grace_period,0.97
146,90,f,6,f,-37.8154,145.0125,Apartment,Entire home/apt,2,1,1,1,0,60,0,1,1125,3,100,10,10,10,10,10,10,f,moderate,0.33
147,88,f,1,t,-37.88083,144.99628,Apartment,Private room,1,1,1,1,,12,0,2,6,1,80,8,8,10,10,10,8,f,moderate,0.23
148,30,f,5,f,-37.87455,145.10302,House,Private room,2,1,1,1,0,10,7,6,74,10,100,10,9,10,10,9,10,f,strict_14_with_grace_period,0.27
149,135,t,7,f,-37.80877,144.96126,Apartment,Entire home/apt,4,1,1,2,300,59,10,1,1125,24,95,10,9,10,10,10,9,f,moderate,8.28
150,65,t,2,f,-37.86702,144.97474,Serviced apartment,Private room,4,2,2,1,,20,30,2,90,63,98,10,10,10,10,10,10,t,strict_14_with_grace_period,2.24
151,95,f,1,t,-37.94799,145.04101,Apartment,Entire home/apt,4,1,2,2,0,70,0,7,1125,32,95,10,9,10,9,9,9,f,strict_14_with_grace_period,0.95
152,119,f,1,f,-37.82984,144.96874,Apartment,Entire home/apt,4,1,2,2,150,120,25,2,1125,7,89,9,8,9,9,10,9,f,strict_14_with_grace_period,1.68
153,181,f,40,t,-37.78951,145.12321,Apartment,Entire home/apt,4,1,2,2,300,110,45,1,1125,4,85,8,10,8,9,10,10,f,strict_14_with_grace_period,0.29
154,195,f,1,f,-37.83231,144.99305,House,Entire home/apt,4,1,2,2,,,0,3,1125,1,100,10,8,10,10,10,10,f,flexible,0.07
155,108,t,1,f,-37.78612,144.92016,Apartment,Entire home/apt,5,1,0,2,300,85,15,1,1125,93,99,10,10,10,10,10,10,t,strict_14_with_grace_period,5.45
156,300,f,1,f,-37.67603,145.2086,House,Entire home/apt,8,1.5,3,4,,,0,4,1125,4,100,10,10,10,10,10,10,f,strict_14_with_grace_period,0.19
157,119,f,152,f,-37.81611,144.95444,Apartment,Entire home/apt,3,1,1,1,199,69,0,1,1124,85,94,10,10,10,10,10,9,t,strict_14_with_grace_period,4.89
158,220,t,13,f,-37.81258,144.94316,Apartment,Entire home/apt,6,2,2,2,150,100,0,3,1125,3,100,10,9,10,10,10,10,t,moderate,1.58
159,139,f,1,t,-37.84117,145.01034,Apartment,Entire home/apt,2,1,1,1,200,35,0,2,21,23,100,10,10,10,10,10,10,f,strict_14_with_grace_period,0.61
160,245,f,1,t,-37.84499,144.97929,Apartment,Private room,2,,1,1,550,110,45,2,730,0,,,,,,,,f,strict_14_with_grace_period,
161,75,t,1,f,-37.93836,145.04054,Guest suite,Entire home/apt,2,1,1,1,500,70,30,2,1125,11,98,10,10,10,10,9,9,t,flexible,0.87
162,145,f,9,f,-37.81899,144.955,Apartment,Entire home/apt,2,1,1,1,,,0,7,20,0,,,,,,,,f,strict_14_with_grace_period,
163,92,t,2,f,-37.88993,145.01858,Apartment,Entire home/apt,4,1,1,2,200,70,15,2,1125,54,94,10,10,10,10,10,10,t,strict_14_with_grace_period,2.19
164,199,f,6,f,-37.79969,144.96942,Apartment,Entire home/apt,2,1,1,1,,,40,1,1125,1,60,8,8,8,10,10,8,f,strict_14_with_grace_period,0.04
165,220,t,1,f,-37.65407,145.34137,House,Entire home/apt,6,2,3,4,0,70,25,2,1124,14,100,10,10,10,10,10,10,t,strict_14_with_grace_period,1.44
166,97,f,1,f,-37.86039,144.99083,Apartment,Entire home/apt,2,1,1,1,200,65,0,11,14,0,,,,,,,,f,flexible,
167,119,f,14,t,-37.81512,144.95252,Apartment,Entire home/apt,4,1,0,2,199,79,10,1,1125,15,93,10,9,10,10,10,10,t,strict_14_with_grace_period,0.65
168,199,f,1,f,-37.84254,144.93837,Apartment,Entire home/apt,4,1,1,1,500,89,15,1,1124,69,96,10,9,10,10,10,9,t,strict_14_with_grace_period,2.71
169,190,f,15,f,-37.90573,144.77353,Villa,Entire home/apt,10,2.5,4,5,1000,200,30,2,1125,0,,,,,,,,f,strict_14_with_grace_period,
170,36,f,1,f,-37.8524,145.06622,House,Private room,3,1,1,2,200,30,50,14,26,2,90,8,7,9,9,8,9,f,moderate,0.08
171,92,f,1,t,-37.87292,145.02409,Apartment,Entire home/apt,4,1,2,2,,,0,3,45,4,100,10,10,10,10,10,10,t,strict_14_with_grace_period,1.48
172,105,f,37,f,-37.81609,144.95421,Apartment,Entire home/apt,3,1,0,2,200,39,15,1,1125,125,91,9,9,10,9,10,9,t,strict_14_with_grace_period,3.97
173,645,f,71,f,-37.82411,144.96054,Apartment,Entire home/apt,8,2,3,4,500,143,45,2,59,86,96,9,9,9,10,10,9,t,strict_14_with_grace_period,4.87
